gene_id,cluster
Ap11.1449,1
Ap11.1444,1
Ap11.1443,1
Ap11.11,1
Ap11.1628,1
Ap11.732,1
Ap11.731,1
Ap11.479,1
Ap11.679,1
Ap11.678,1
Ap11.1232,1
Ap11.888,1
Ap11.889,1
Ap11.887,1
Ap11.360,1
Ap11.358,1
Ap11.359,1
Ap11.357,1
Ap11.242,1
Ap11.967,1
Ap11.966,1
Ap11.962,1
Ap11.1656,1
Ap11.1787,1
Ap11.659,1
Ap11.1856,1
Ap11.1520,1
Ap11.1523,1
Ap11.1524,1
Ap11.259,1
Ap11.1757,2
Ap11.477,1
Ap11.1042,1
Ap11.1045,2
Ap11.1207,1
Ap11.110,1
Ap11.877,1
Ap11.876,1
Ap11.878,1
Ap11.1415,1
Ap11.43,1
Ap11.42,1
Ap11.45,1
Ap11.44,1
Ap11.325,1
Ap11.428,1
Ap11.1598,1
Ap11.1599,2
Ap11.1596,1
Ap11.1597,1
Ap11.1624,1
Ap11.1625,1
Ap11.1622,1
Ap11.621,1
Ap11.191,1
Ap11.1121,1
Ap11.1494,1
Ap11.1493,1
Ap11.1498,1
Ap11.1866,2
Ap11.1862,1
Ap11.1863,1
Ap11.931,1
Ap11.932,1
Ap11.1515,1
Ap11.1516,1
Ap11.1518,1
Ap11.1519,1
Ap11.206,1
Ap11.205,1
Ap11.200,1
Ap11.201,1
Ap11.1705,1
Ap11.1704,1
Ap11.1706,1
Ap11.1517,1
Ap11.209,1
Ap11.1906,1
Ap11.1904,1
Ap11.1901,1
Ap11.1010,1
Ap11.1012,1
Ap11.1785,1
Ap11.1784,2
Ap11.92,1
Ap11.97,1
Ap11.1424,1
Ap11.1421,1
Ap11.1422,1
Ap11.598,1
Ap11.79,1
Ap11.1472,1
Ap11.1474,2
Ap11.417,1
Ap11.415,1
Ap11.414,1
Ap11.1099,1
Ap11.1098,1
Ap11.1090,1
Ap11.1093,1
Ap11.1094,1
Ap11.1097,1
Ap11.1096,1
Ap11.653,1
Ap11.1161,1
Ap11.71,1
Ap11.76,1
Ap11.75,1
Ap11.1831,1
Ap11.1830,1
Ap11.1838,1
Ap11.941,1
Ap11.940,1
Ap11.942,1
Ap11.945,1
Ap11.498,2
Ap11.1677,1
Ap11.236,1
Ap11.230,1
Ap11.853,1
